long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
-2.750657,-0.774827,2.933913,-2.745774,-5.146165,5.232741,4.013991,1.564772,0.616530,0.388991,4.849929,6.756179,1.883132,0.512038,4.185866,1.871413,2.392898,-2.058274,1.496413,0.642897
-5.203222,-3.502538,-5.533300,-1.207128,-3.789159,-2.491552,-4.841894,-1.073339,-3.921972,1.085841,-6.839941,-2.024999,-4.415136,-5.632909,-3.057470,-3.142675,-1.902441,-2.779882,-3.645116,-0.644628
1.347698,4.503459,3.632366,0.370403,2.180217,1.195354,3.026897,2.277874,0.436769,-0.938923,2.456584,2.810100,1.244182,0.876018,1.330120,4.878459,-0.699666,2.728069,0.805706,3.878459
7.298650,8.251776,1.271307,-1.452326,0.544744,2.411932,-0.302912,2.560369,3.958807,-3.684016,-2.827815,-3.811945,-4.371272,-4.876154,-3.529719,-3.794611,-3.005793,0.314275,-2.856135,-5.715022
5.210797,4.675641,-2.183734,-0.591937,-2.351703,-1.316547,-3.843890,-2.621234,0.437360,1.833356,2.040143,1.865582,-0.031390,0.214703,-0.615375,3.346539,1.996686,1.840192,2.549298,1.096539
-2.401860,-3.909672,2.311031,-2.210454,3.994624,-0.838872,0.715328,0.231929,-0.533208,-3.270024,-2.522954,-1.414967,-1.729497,-5.187016,-2.543462,-1.995122,-0.449712,-1.455571,-3.370610,-5.007329
-1.599266,0.613136,-2.013329,0.074562,-1.761376,-2.437157,-1.880516,-1.099266,-2.837548,-0.006493,-2.089501,-1.288720,-1.687157,-1.204735,-2.556298,-2.286767,-3.302392,-3.513329,-3.220360,-0.001610
-1.210336,0.168570,-0.380258,-0.182992,2.027945,5.168570,10.520132,4.317008,2.695914,-0.278696,-1.479867,-1.561899,2.895133,-0.263071,2.645133,3.512320,2.914664,-1.138071,-2.660532,-0.429086
-5.204498,-7.386139,-4.679108,-4.913483,-3.354889,-0.212311,-1.692780,-1.971588,-3.853912,-1.924225,-4.643951,-4.458405,-3.989655,-0.710358,-3.442780,1.012299,3.918549,-0.612701,-2.229973,-0.249420
5.095867,3.603679,7.662273,3.158367,-0.985188,-1.431805,-1.774251,1.302898,2.720867,5.935710,-3.810383,-4.675618,1.959148,-3.012532,3.013835,-0.854817,0.933757,-1.769612,-0.814778,8.123211
-4.342860,-3.741298,-4.956141,-5.483485,2.618077,-1.713954,1.008702,-0.163173,-1.097743,3.946202,-6.655360,-4.776454,-4.835048,-2.366298,-2.262782,0.097081,-2.448329,-4.799891,-1.160243,2.879796
-4.402081,-2.474346,-2.011456,0.334247,2.245869,-1.597393,-3.870831,-1.702862,-2.780987,1.656269,-2.234112,-2.671612,-2.562237,0.170185,-2.253643,-1.923565,0.026630,-2.863018,-2.361065,0.861103
1.688589,-1.997935,-0.139780,4.808706,5.171988,4.832144,6.027456,5.683706,2.558706,-4.710825,0.622427,-2.247935,-3.925669,-1.589731,0.181753,0.985464,2.488394,6.800894,3.498159,-3.052622
6.818216,7.802591,4.958841,3.859231,4.183450,0.043314,3.921731,4.701028,6.142435,1.522806,4.365091,3.599466,4.052591,-2.431784,2.009622,-0.495261,6.837747,3.035013,4.359231,-1.666159
7.314972,5.713409,4.049347,7.221222,0.362335,1.641144,0.674347,-0.467011,4.768097,-1.775849,-0.872528,0.719757,-3.235810,-4.899872,2.684112,-1.520966,-2.915497,-0.967255,0.310821,-3.272919
2.173261,4.446699,1.899824,1.100019,0.683027,-2.979082,-4.260333,-1.877520,2.624433,3.255293,3.222090,3.311933,1.313886,-1.172930,4.974042,-3.666582,-0.520342,-2.760332,-1.012774,5.177167
2.127731,2.670700,11.971481,8.448044,-4.176956,2.481247,3.891403,3.024216,0.677048,0.036911,5.010544,4.405075,3.698044,5.346481,-3.325394,0.597702,4.143356,-0.647659,0.946823,-1.001175
5.417347,3.224232,-0.451793,2.348744,0.682972,1.681996,4.770863,5.499378,2.870320,2.114613,-3.459606,-1.076793,0.567738,-2.826793,-0.326793,-0.211559,-0.514293,1.388050,-3.447887,0.720082
1.802652,3.544840,-2.849203,3.310465,0.837808,3.744058,-1.346762,-1.704672,-0.658285,-1.662436,3.275308,3.615152,-1.707358,2.115152,1.451090,3.322183,-2.937094,-2.534750,-1.413168,-1.770102
1.724197,4.214584,-2.590103,4.609116,0.416733,1.454086,0.326889,-2.453384,-0.767838,4.195053,0.538803,0.732162,-0.617447,-1.277603,0.178452,1.135971,2.550522,0.486069,1.142807,6.066147
-3.714727,-2.824102,-0.698126,-2.335821,1.974726,0.498530,1.957148,-0.602911,-0.470098,0.293268,5.730585,5.218866,-0.624884,1.260859,4.921991,8.004023,5.203241,4.800898,2.392694,3.873163
1.407197,4.102510,-1.291533,-3.384795,1.926729,0.668916,6.446260,8.524385,5.606416,-0.805693,2.665010,2.977510,0.416963,2.258760,-2.413847,-4.227568,-5.639678,-3.075713,1.016572,-4.092803
