long_1,long_2,long_3,long_4,long_5,long_6,long_7,long_8,long_9,long_10,short_1,short_2,short_3,short_4,short_5,short_6,short_7,short_8,short_9,short_10
-1.709961,0.265869,3.974609,-1.705078,-4.105469,6.273438,5.054688,2.605469,1.657227,1.429688,5.890625,7.796875,2.923828,1.552734,5.226562,2.912109,3.433594,-1.017578,2.537109,1.683594
-2.257812,-0.557129,-2.587891,1.738281,-0.843750,0.453857,-1.896484,1.872070,-0.976562,4.031250,-3.894531,0.920410,-1.469727,-2.687500,-0.112061,-0.197266,1.042969,0.165527,-0.699707,2.300781
0.914551,4.070312,3.199219,-0.062744,1.747070,0.762207,2.593750,1.844727,0.003622,-1.372070,2.023438,2.376953,0.811035,0.442871,0.896973,4.445312,-1.132812,2.294922,0.372559,3.445312
10.664062,11.617188,4.636719,1.913086,3.910156,5.777344,3.062500,5.925781,7.324219,-0.318604,0.537598,-0.446533,-1.005859,-1.510742,-0.164307,-0.429199,0.359619,3.679688,0.509277,-2.349609
2.792969,2.257812,-4.601562,-3.009766,-4.769531,-3.734375,-6.261719,-5.039062,-1.980469,-0.584473,-0.377686,-0.552246,-2.449219,-2.203125,-3.033203,0.928711,-0.421143,-0.577637,0.131470,-1.321289
-1.009766,-2.517578,3.703125,-0.818359,5.386719,0.553223,2.107422,1.624023,0.858887,-1.877930,-1.130859,-0.022873,-0.337402,-3.794922,-1.151367,-0.603027,0.942383,-0.063477,-1.978516,-3.615234
-3.082031,-0.869629,-3.496094,-1.408203,-3.244141,-3.919922,-3.363281,-2.582031,-4.320312,-1.489258,-3.572266,-2.771484,-3.169922,-2.687500,-4.039062,-3.769531,-4.785156,-4.996094,-4.703125,-1.484375
2.527344,3.906250,3.357422,3.554688,5.765625,8.906250,14.257812,8.054688,6.433594,3.458984,2.257812,2.175781,6.632812,3.474609,6.382812,7.250000,6.652344,2.599609,1.077148,3.308594
-2.958984,-5.140625,-2.433594,-2.667969,-1.109375,2.033203,0.552734,0.273926,-1.608398,0.321289,-2.398438,-2.212891,-1.744141,1.535156,-1.197266,3.257812,6.164062,1.632812,0.015541,1.996094
6.519531,5.027344,9.085938,4.582031,0.438477,-0.008141,-0.350586,2.726562,4.144531,7.359375,-2.386719,-3.251953,3.382812,-1.588867,4.437500,0.568848,2.357422,-0.345947,0.608887,9.546875
-4.792969,-4.191406,-5.406250,-5.933594,2.167969,-2.164062,0.558594,-0.613281,-1.547852,3.496094,-7.105469,-5.226562,-5.285156,-2.816406,-2.712891,-0.353027,-2.898438,-5.250000,-1.610352,2.429688
-5.921875,-3.994141,-3.531250,-1.185547,0.726074,-3.117188,-5.390625,-3.222656,-4.300781,0.136475,-3.753906,-4.191406,-4.082031,-1.349609,-3.773438,-3.443359,-1.493164,-4.382812,-3.880859,-0.658691
1.364258,-2.322266,-0.464111,4.484375,4.847656,4.507812,5.703125,5.359375,2.234375,-5.035156,0.298096,-2.572266,-4.250000,-1.914062,-0.142578,0.661133,2.164062,6.476562,3.173828,-3.376953
6.179688,7.164062,4.320312,3.220703,3.544922,-0.595215,3.283203,4.062500,5.503906,0.884277,3.726562,2.960938,3.414062,-3.070312,1.371094,-1.133789,6.199219,2.396484,3.720703,-2.304688
7.468750,5.867188,4.203125,7.375000,0.516113,1.794922,0.828125,-0.313232,4.921875,-1.622070,-0.718750,0.873535,-3.082031,-4.746094,2.837891,-1.367188,-2.761719,-0.813477,0.464600,-3.119141
2.476562,4.750000,2.203125,1.403320,0.986328,-2.675781,-3.957031,-1.574219,2.927734,3.558594,3.525391,3.615234,1.617188,-0.869629,5.277344,-3.363281,-0.217041,-2.457031,-0.709473,5.480469
1.195312,1.738281,11.039062,7.515625,-5.109375,1.548828,2.958984,2.091797,-0.255371,-0.895508,4.078125,3.472656,2.765625,4.414062,-4.257812,-0.334717,3.210938,-1.580078,0.014404,-1.933594
2.583984,0.390869,-3.285156,-0.484619,-2.150391,-1.151367,1.937500,2.666016,0.036957,-0.718750,-6.292969,-3.910156,-2.265625,-5.660156,-3.160156,-3.044922,-3.347656,-1.445312,-6.281250,-2.113281
3.914062,5.656250,-0.737793,5.421875,2.949219,5.855469,0.764648,0.406738,1.453125,0.448975,5.386719,5.726562,0.404053,4.226562,3.562500,5.433594,-0.825684,-0.423340,0.698242,0.341309
-0.052887,2.437500,-4.367188,2.832031,-1.360352,-0.322998,-1.450195,-4.230469,-2.544922,2.417969,-1.238281,-1.044922,-2.394531,-3.054688,-1.598633,-0.641113,0.773438,-1.291016,-0.634277,4.289062
-4.082031,-3.191406,-1.065430,-2.703125,1.607422,0.131226,1.589844,-0.970215,-0.837402,-0.074036,5.363281,4.851562,-0.992188,0.893555,4.554688,7.636719,4.835938,4.433594,2.025391,3.505859
3.695312,6.390625,0.996582,-1.096680,4.214844,2.957031,8.734375,10.812500,7.894531,1.482422,4.953125,5.265625,2.705078,4.546875,-0.125732,-1.939453,-3.351562,-0.787598,3.304688,-1.804688
1.838867,3.015625,2.363281,2.792969,3.402344,1.268555,-0.507812,0.448486,0.440430,-0.855469,6.386719,6.386719,0.210083,1.410156,5.921875,5.894531,-0.165649,5.398438,4.257812,2.796875
