1.499993324,0.416008949,0.088843058
-2.281270027,-3.347676277,0.141833927
2.194048166,-2.045453787,-0.419948342
-3.806600571,-1.998006821,0.467262505
-1.481294513,1.439970136,-0.954563352
0.470994174,-1.525099516,0.063347746
1.038260102,1.397635102,-0.06371109
-1.516030788,-0.711343288,-0.803254169
1.344027281,0.518831968,-0.762935517
5.494263649,-1.320189714,0.797146175
-0.139966369,-1.834912658,-0.590520977
1.005534172,3.107096672,-0.389676862
-7.364156723,-1.313375592,-0.485462447
1.997908354,0.865095854,-0.646188108
0.395138383,9.101193428,-0.287766672
-0.243760705,0.571668983,-0.705687263
1.106071472,4.559196472,-0.040935558
1.101144075,1.034005404,0.720628083
-1.252630234,-2.102239609,0.797461463
0.65459919,-1.399111748,-0.639773552
0.354475677,-2.168961763,-0.103950773
3.643972397,-2.020090103,0.669555675
-3.340696812,0.71057272,-0.958528214
-4.81103754,-0.268068612,-0.073270139
2.292630911,3.937162161,-0.367607659
-0.276931912,-0.60823071,0.953432944
-0.64179641,2.519336462,0.548578973
-1.9796381,-2.720849037,-0.30583098
-0.092454076,3.111647606,0.41031592
-2.359960079,1.343653202,-0.488831415
1.217326641,2.862834454,-0.393502184
0.263494015,-2.682795048,0.039178897
-2.808734179,-2.293109179,-0.386158367
-1.439701796,-2.075199842,-0.405557971
-0.91957891,-5.603172779,0.098387021
0.096304417,2.793570042,0.188602112
-3.181060791,3.227142334,-0.62542796
0.573405743,2.129069805,0.861223957
-5.159266472,0.399846017,-0.589670331
-2.372783661,-1.02122128,-0.710266193
1.940541983,3.484487295,0.870901256
4.853372097,-1.040182471,0.411213563
0.290069401,2.295440435,-0.705867096
3.931073904,-1.984941721,0.029383543
3.084762573,3.170700073,-0.634921843
0.965198755,2.894397974,0.040328018
2.435464621,1.677652121,-0.949294205
-2.797134399,2.811264038,0.435140486
3.884881973,3.449335098,0.511643656
5.290009975,0.5966506,-0.393599188
3.232699871,-3.441128254,-0.971694795
-0.092509508,-2.467509508,-0.224964421
0.028478384,0.833165884,-0.713707985
-2.044631004,0.881150246,-0.070136818
-0.636936665,0.818995953,0.691773268
-2.645790577,2.000693798,-0.336000181
2.682352543,6.115946293,-0.53170779
-1.293787718,-2.262537718,-0.880710315
-0.493866146,-0.421600521,-0.197851257
1.501304388,-0.359779656,0.123662051
-1.384046316,-4.727796555,-0.190333089
-5.122829437,-2.022243261,-0.323250157
1.798703432,-2.603640318,-0.867790004
1.68907094,-2.036514997,-0.473242422
5.182038307,2.744538307,-0.870492556
1.048581123,2.431393623,0.318015704
2.32490921,-0.523723602,-0.848954646
2.297774792,3.643477917,0.671723705
-1.171850801,-2.62888217,0.221118506
-1.89442265,0.379503101,0.840782783
-1.348502874,2.969124079,-0.151918906
-5.117500782,-0.126900017,0.451243728
1.936800957,-9.475308418,0.310073252
-3.676236391,1.032747984,0.120302052
-4.896064758,3.260673523,0.710910275
0.185609937,0.365297437,-0.78420417
0.241718531,-0.740703344,-0.945225863
-0.997555137,0.775210977,0.378445628
-2.904407501,3.569225311,-0.532958498
0.260144949,3.363660574,-0.731093482
1.193605423,-1.127195358,-0.846947187
1.212054014,-1.694195986,0.043804468
2.948017597,-0.55881834,0.948421568
1.233223796,4.323067665,-0.668645757
-3.81479311,-2.29916811,-0.740439647
-4.241475105,-1.311787486,-0.032888969
3.700927973,1.652588129,-0.890179701
6.458622932,-0.706416368,-0.942112432
-0.33053112,2.25150013,-0.939314909
