-0.181464523,-0.124198355,,0.0329,0.0154,0.0225,,-0.001787,-0.001412,,0.000003,0.000002,0.000003,,,,,
0.784779429,0.218946755,,0.6159,0.0479,0.1718,,0.007728,0.002489,,0.000060,0.000006,0.000019,,,,,
0.775899053,-0.594448268,,0.6020,0.3534,-0.4612,,0.007640,-0.006757,,0.000058,0.000046,-0.000052,,,,,
-1.178585291,0.18811062,,1.3891,0.0354,-0.2217,,-0.011605,0.002138,,0.000135,0.000005,-0.000025,,,,,
-1.50379324,-1.852992415,,2.2614,3.4336,2.7865,,-0.014808,-0.021063,,0.000219,0.000444,0.000312,,,,,
-0.305907667,1.212366581,,0.0936,1.4698,-0.3709,,-0.003012,0.013781,,0.000009,0.000190,-0.000042,,,,,
-0.324473441,1.560904264,,0.1053,2.4364,-0.5065,,-0.003195,0.017743,,0.000010,0.000315,-0.000057,,,,,
-3.580162764,-0.953766465,,12.8176,0.9097,3.4146,,-0.035253,-0.010842,,0.001243,0.000118,0.000382,,,,,
-1.10184443,0.983346462,,1.2141,0.9670,-1.0835,,-0.010850,0.011178,,0.000118,0.000125,-0.000121,,,,,
-1.526947975,-1.030392289,,2.3316,1.0617,1.5734,,-0.015036,-0.011713,,0.000226,0.000137,0.000176,,,,,
-1.392501593,-1.168421626,,1.9391,1.3652,1.6270,,-0.013712,-0.013282,,0.000188,0.000176,0.000182,,,,,
-0.782884479,-2.562757969,,0.6129,6.5677,2.0063,,-0.007709,-0.029131,,0.000059,0.000849,0.000225,,,,,sqrt by 16 or indic by 4
-0.27482307,-1.088624597,,0.0755,1.1851,0.2992,,-0.002706,-0.012375,,0.000007,0.000153,0.000033,,,,,
-0.171229929,-0.649275064,,0.0293,0.4216,0.1112,,-0.001686,-0.007380,,0.000003,0.000054,0.000012,,,,,
1.31841588,-0.074408323,,1.7382,0.0055,-0.0981,,0.012982,-0.000846,,0.000169,0.000001,-0.000011,,,,,
-0.888957798,-0.018492922,,0.7902,0.0003,0.0164,,-0.008753,-0.000210,,0.000077,0.000000,0.000002,,,,,Why excel problem….
-0.470275402,-1.051034212,,0.2212,1.1047,0.4943,,-0.004631,-0.011947,,0.000021,0.000143,0.000055,,,,,
0.555178881,-0.127182066,,0.3082,0.0162,-0.0706,,0.005467,-0.001446,,0.000030,0.000002,-0.000008,,,,,
0.662180185,0.513241172,,0.4385,0.2634,0.3399,,0.006520,0.005834,,0.000043,0.000034,0.000038,,,,,Recreate….
-2.364817619,-0.612386763,,5.5924,0.3750,1.4482,,-0.023286,-0.006961,,0.000542,0.000048,0.000162,,,,,
0.283239543,-0.806445122,,0.0802,0.6504,-0.2284,,0.002789,-0.009167,,0.000008,0.000084,-0.000026,,,,,
-0.306474447,-0.423765719,,0.0939,0.1796,0.1299,,-0.003018,-0.004817,,0.000009,0.000023,0.000015,,,,,
-0.601730049,0.781968415,,0.3621,0.6115,-0.4705,,-0.005925,0.008889,,0.000035,0.000079,-0.000053,,,,,
-3.578888178,-0.091110274,,12.8084,0.0083,0.3261,,-0.035241,-0.001036,,0.001242,0.000001,0.000036,,,,,
